iteration,type,subtype,id,money
10,agent,Middle,G30,5000000.00
10,agent,Middle,G31,5095782.00
10,agent,Middle,G32,5000000.00
10,agent,Middle,G33,5000000.00
10,agent,Middle,G34,4246727.42
10,agent,Middle,G35,4993635.60
10,agent,Middle,G36,5000000.00
10,agent,Middle,G37,5000000.00
10,agent,Middle,G38,5000000.00
10,agent,Middle,G39,5000000.00
10,agent,Middle,G40,5000000.00
10,agent,Middle,G41,4247521.89
10,agent,Middle,G42,5000000.00
10,agent,Middle,G43,4247175.10
10,agent,Middle,G44,5000000.00
10,agent,Middle,G45,5000000.00
10,agent,Middle,G46,5000000.00
10,agent,Middle,G47,5000000.00
10,agent,Middle,G48,5000000.00
10,agent,Middle,G49,5000000.00
10,agent,Middle,G50,5000000.00
10,agent,Middle,G51,5000000.00
10,agent,Middle,G52,5000000.00
10,agent,Middle,G53,5000000.00
10,agent,Middle,G54,5000000.00
10,agent,Middle,G55,5000000.00
10,agent,Middle,G56,5040562.00
10,agent,Middle,G57,5000000.00
10,agent,Middle,G58,5000000.00
10,agent,Middle,G59,5000000.00
10,agent,Middle,G60,5000000.00
10,agent,Middle,G61,5747929.90
10,agent,Middle,G62,5000000.00
10,agent,Middle,G63,5005630.40
10,agent,Middle,G64,5000000.00
10,agent,Middle,G65,5000000.00
10,agent,Middle,G66,5000000.00
10,agent,Middle,G67,5000000.00
10,agent,Middle,G68,5748016.77
10,agent,Middle,G69,5000000.00
10,agent,Middle,G70,5000000.00
10,agent,Middle,G71,5000000.00
10,agent,Middle,G72,5000000.00
10,agent,Middle,G73,5000000.00
10,agent,Middle,G74,5830423.21
10,agent,Middle,G75,5000000.00
10,agent,Middle,G76,5000000.00
10,agent,Middle,G77,5000000.00
10,agent,Middle,G78,5736451.62
10,agent,Middle,G79,5000000.00
10,agent,Low,G80,10398.72
10,agent,Low,G81,10000.00
10,agent,Low,G82,10000.00
10,agent,Low,G83,9799.42
10,agent,Low,G84,10000.00
10,agent,Low,G85,10000.00
10,agent,Low,G86,10000.00
10,agent,Low,G87,10198.00
10,agent,Low,G88,10000.00
10,agent,Low,G89,9799.49
10,agent,Low,G90,10000.00
10,agent,Low,G91,10000.00
10,agent,Low,G92,10000.00
10,agent,Low,G93,10000.00
10,agent,Low,G94,10000.00
10,agent,Low,G95,9799.24
10,agent,Low,G96,10000.00
10,agent,Low,G97,10000.00
10,agent,Low,G98,10199.42
10,agent,Low,G99,10000.00
10,firm,,F0,34006560.67
10,firm,,F1,99876565.57
10,firm,,F2,47005649.81
10,firm,,F3,58902096.74
10,firm,,F4,62000000.00
10,firm,,F5,58000000.00
10,firm,,F6,88967186.46
10,firm,,F7,41000001.15
10,firm,,F8,43015232.02
10,firm,,F9,68000002.55
10,regulator,,R0,1000000000.00
20,agent,High,G0,10000000.00
20,agent,High,G1,11493953.69
20,agent,High,G2,8636394.69
20,agent,High,G3,8495942.03
20,agent,High,G4,11495942.03
20,agent,Middle,G5,5000000.00
20,agent,Middle,G6,5000000.00
20,agent,Middle,G7,4248016.77
20,agent,Middle,G8,5747521.89
20,agent,Middle,G9,5000000.00
20,agent,Middle,G10,4246915.85
20,agent,Middle,G11,5000000.00
20,agent,Middle,G12,5000000.00
20,agent,Middle,G13,5000000.00
20,agent,Middle,G14,5746971.87
20,agent,Middle,G15,4246971.87
20,agent,Middle,G16,5000000.00
20,agent,Middle,G17,5005127.30
20,agent,Middle,G18,5000000.00
20,agent,Middle,G19,5000000.00
20,agent,Middle,G20,4247826.64
20,agent,Middle,G21,4247951.87
20,agent,Middle,G22,5085305.00
20,agent,Middle,G23,5010795.00
20,agent,Middle,G24,5000000.00
20,agent,Middle,G25,4205305.11
20,agent,Middle,G26,4995105.00
20,agent,Middle,G27,5000000.00
20,agent,Middle,G28,4247510.24
20,agent,Middle,G29,5746670.49
20,agent,Middle,G30,5000000.00
20,agent,Middle,G31,5095703.00
20,agent,Middle,G32,5000000.00
20,agent,Middle,G33,5000000.00
20,agent,Middle,G34,5048085.37
20,agent,Middle,G35,4993635.60
20,agent,Middle,G36,5747510.24
20,agent,Middle,G37,5000000.00
20,agent,Middle,G38,5000000.00
20,agent,Middle,G39,5000000.00
20,agent,Middle,G40,5000000.00
20,agent,Middle,G41,4247521.89
20,agent,Middle,G42,4950357.20
20,agent,Middle,G43,4247175.10
20,agent,Middle,G44,5000000.00
20,agent,Middle,G45,5000000.00
20,agent,Middle,G46,5000000.00
20,agent,Middle,G47,5000000.00
20,agent,Middle,G48,5000000.00
20,agent,Middle,G49,5000000.00
20,agent,Middle,G50,5000000.00
20,agent,Middle,G51,5000000.00
20,agent,Middle,G52,5000000.00
20,agent,Middle,G53,5000000.00
20,agent,Middle,G54,5000000.00
20,agent,Middle,G55,5000000.00
20,agent,Middle,G56,5788388.64
20,agent,Middle,G57,5000000.00
20,agent,Middle,G58,5000000.00
20,agent,Middle,G59,5000000.00
20,agent,Middle,G60,4246670.49
20,agent,Middle,G61,6495881.78
20,agent,Middle,G62,6494614.25
20,agent,Middle,G63,4997184.80
20,agent,Middle,G64,5000000.00
20,agent,Middle,G65,5000000.00
20,agent,Middle,G66,5000000.00
20,agent,Middle,G67,5000000.00
20,agent,Middle,G68,5712540.47
20,agent,Middle,G69,4247698.40
20,agent,Middle,G70,5000000.00
20,agent,Middle,G71,5000000.00
20,agent,Middle,G72,5000000.00
20,agent,Middle,G73,5000000.00
20,agent,Middle,G74,5816906.21
20,agent,Middle,G75,5000000.00
20,agent,Middle,G76,5000000.00
20,agent,Middle,G77,5000000.00
20,agent,Middle,G78,5736451.62
