Time,type,Income-class,id,Net-worth
20,agent,Middle,G11,5000000.0
20,agent,Middle,G12,5000000.0
20,agent,Middle,G13,5745925.24
20,agent,Middle,G14,4245608.09
20,agent,Middle,G15,5747774.96
20,agent,Middle,G16,5000000.0
20,agent,Middle,G17,5744685.03
20,agent,Middle,G18,4996385.1
20,agent,Middle,G19,5000000.0
20,agent,Middle,G20,5000000.0
20,agent,Middle,G21,5000000.0
20,agent,Middle,G22,5005935.3
20,agent,Middle,G23,5000000.0
20,agent,Middle,G24,5000000.0
20,agent,Middle,G25,5000000.0
20,agent,Middle,G26,5000000.0
20,agent,Middle,G27,5745915.3
20,agent,Middle,G28,5000000.0
20,agent,Middle,G29,4997546.1
20,agent,Middle,G30,5000000.0
20,agent,Middle,G31,5080703.0
20,agent,Middle,G32,5000000.0
20,agent,Middle,G33,5000000.0
20,agent,Middle,G34,5687977.51
20,agent,Middle,G35,4877368.78
20,agent,Middle,G36,4997322.1
20,agent,Middle,G37,5000000.0
20,agent,Middle,G38,5003444.0
20,agent,Middle,G39,4262485.46
20,agent,Middle,G40,5745545.84
20,agent,Middle,G41,5000000.0
20,agent,Middle,G42,4245100.59
20,agent,Middle,G43,4245001.77
20,agent,Middle,G44,5000000.0
20,agent,Middle,G45,5000000.0
20,agent,Middle,G46,4927677.8
20,agent,Middle,G47,5000000.0
20,agent,Middle,G48,4245925.24
20,agent,Middle,G49,4956871.2
20,agent,Middle,G50,5023975.8
20,agent,Middle,G51,5000000.0
20,agent,Middle,G52,5000000.0
20,agent,Middle,G53,4878764.56
20,agent,Middle,G54,4245759.95
20,agent,Middle,G55,5000000.0
20,agent,Middle,G56,4244685.03
20,agent,Middle,G57,4244907.09
20,agent,Middle,G58,5000000.0
20,agent,Middle,G59,5745001.77
20,agent,Middle,G60,5000000.0
20,agent,Middle,G61,5000000.0
20,agent,Middle,G62,4948321.0
20,agent,Middle,G63,5000000.0
20,agent,Middle,G64,5000000.0
20,agent,Middle,G65,5000000.0
20,agent,Middle,G66,5000000.0
20,agent,Middle,G67,5857142.73
20,agent,Middle,G68,5000000.0
20,agent,Middle,G69,5811393.45
20,agent,Middle,G70,4990184.03
20,agent,Middle,G71,5000000.0
20,agent,Middle,G72,5000000.0
20,agent,Middle,G73,5000000.0
20,agent,Middle,G74,5000000.0
20,agent,Middle,G75,4991718.86
20,agent,Middle,G76,4236666.38
20,agent,Middle,G77,4245915.3
20,agent,Middle,G78,5033749.1
20,agent,Middle,G79,5746137.63
20,agent,Low,G80,10000.0
20,agent,Low,G81,4300.0
20,agent,Low,G82,10000.0
20,agent,Low,G83,9993.0
20,agent,Low,G84,10000.0
20,agent,Low,G85,-26323.0
20,agent,Low,G86,10000.0
20,agent,Low,G87,9798.69
20,agent,Low,G88,10000.0
20,agent,Low,G89,10000.0
20,agent,Low,G90,-28209.34
20,agent,Low,G91,10000.0
20,agent,Low,G92,10000.0
20,agent,Low,G93,10000.0
20,agent,Low,G94,10000.0
20,agent,Low,G95,10000.0
20,agent,Low,G96,10198.66
20,agent,Low,G97,10198.69
20,agent,Low,G98,10000.0
20,agent,Low,G99,10000.0
20,firm,,F0,98046725.65
20,firm,,F1,67938417.53
20,firm,,F2,38919297.0
20,firm,,F3,1037797.79
20,firm,,F4,45029278.67
20,firm,,F5,59116370.68
20,firm,,F6,78935147.53
20,firm,,F7,33083944.15
20,firm,,F8,5027968.28
20,firm,,F9,80043917.69
20,regulator,,R0,1000000000.0
30,agent,High,G0,8914240.2
30,agent,High,G1,10500000.0
30,agent,High,G2,10500000.0
30,agent,High,G3,10500000.0
30,agent,High,G4,12064240.2
30,agent,Middle,G5,5193133.19
30,agent,Middle,G6,5690217.12
30,agent,Middle,G7,5075000.0
30,agent,Middle,G8,4309264.95
30,agent,Middle,G9,4309793.7
30,agent,Middle,G10,5831362.61
30,agent,Middle,G11,5075000.0
30,agent,Middle,G12,5075000.0
30,agent,Middle,G13,6589112.25
30,agent,Middle,G14,4309292.21
30,agent,Middle,G15,5833991.58
30,agent,Middle,G16,5075000.0
30,agent,Middle,G17,5830855.3
30,agent,Middle,G18,5071330.88
30,agent,Middle,G19,5829009.46
30,agent,Middle,G20,5075000.0
30,agent,Middle,G21,4309498.13
30,agent,Middle,G22,5081024.33
30,agent,Middle,G23,5075000.0
30,agent,Middle,G24,4308761.45
30,agent,Middle,G25,5075000.0
30,agent,Middle,G26,5075000.0
30,agent,Middle,G27,5832104.03
30,agent,Middle,G28,5717744.26
30,agent,Middle,G29,4307119.12
30,agent,Middle,G30,5139909.9
30,agent,Middle,G31,5924981.38
30,agent,Middle,G32,5075000.0
30,agent,Middle,G33,5075000.0
30,agent,Middle,G34,4902774.85
30,agent,Middle,G35,4950529.31
30,agent,Middle,G36,5072281.93
30,agent,Middle,G37,5075000.0
30,agent,Middle,G38,4309630.84
30,agent,Middle,G39,4252078.72
30,agent,Middle,G40,5831729.02
30,agent,Middle,G41,5940449.53
30,agent,Middle,G42,4308777.1
30,agent,Middle,G43,4308676.8
30,agent,Middle,G44,5075000.0
